Agent,Grid Size,Number of Colors,Total score per game,Total avalanche matches per game,Total avalanche score per game
rl_agent,"(5, 5)",5,0,4,15
rl_agent,"(5, 5)",5,0,9,30
rl_agent,"(5, 5)",5,0,16,54
rl_agent,"(5, 5)",5,0,18,60
rl_agent,"(5, 5)",5,0,22,72
rl_agent,"(5, 5)",5,0,24,78
rl_agent,"(5, 5)",5,0,28,90
rl_agent,"(5, 5)",5,0,32,108
rl_agent,"(5, 5)",5,0,35,124
rl_agent,"(5, 5)",5,0,38,133
rl_agent,"(5, 5)",5,0,44,156
rl_agent,"(5, 5)",5,0,49,171
rl_agent,"(5, 5)",5,0,55,192
rl_agent,"(5, 5)",5,0,63,224
rl_agent,"(5, 5)",5,0,65,230
rl_agent,"(5, 5)",5,0,68,239
rl_agent,"(5, 5)",5,0,73,255
rl_agent,"(5, 5)",5,0,76,264
rl_agent,"(5, 5)",5,0,79,279
rl_agent,"(5, 5)",5,0,82,294
rl_agent,"(5, 5)",5,0,87,309
rl_agent,"(5, 5)",5,0,91,323
rl_agent,"(5, 5)",5,0,98,350
rl_agent,"(5, 5)",5,0,105,381
rl_agent,"(5, 5)",5,0,108,394
rl_agent,"(5, 5)",5,0,114,419
rl_agent,"(5, 5)",5,0,117,428
rl_agent,"(5, 5)",5,0,121,440
rl_agent,"(5, 5)",5,0,132,478
rl_agent,"(5, 5)",5,0,136,490
rl_agent,"(5, 5)",5,0,140,506
rl_agent,"(5, 5)",5,0,147,533
rl_agent,"(5, 5)",5,0,150,545
rl_agent,"(5, 5)",5,0,153,554
rl_agent,"(5, 5)",5,0,160,578
rl_agent,"(5, 5)",5,0,162,584
rl_agent,"(5, 5)",5,0,165,593
rl_agent,"(5, 5)",5,0,167,599
rl_agent,"(5, 5)",5,0,173,625
rl_agent,"(5, 5)",5,0,178,640
rl_agent,"(5, 5)",5,0,182,652
rl_agent,"(5, 5)",5,0,190,680
rl_agent,"(5, 5)",5,0,192,686
rl_agent,"(5, 5)",5,0,198,709
rl_agent,"(5, 5)",5,0,204,727
rl_agent,"(5, 5)",5,0,208,740
rl_agent,"(5, 5)",5,0,211,754
rl_agent,"(5, 5)",5,0,211,754
rl_agent,"(5, 5)",5,0,212,760
rl_agent,"(5, 5)",5,0,217,775
rl_agent,"(5, 5)",5,0,225,811
rl_agent,"(5, 5)",5,0,230,826
rl_agent,"(5, 5)",5,0,236,850
rl_agent,"(5, 5)",5,0,240,863
rl_agent,"(5, 5)",5,0,245,885
rl_agent,"(5, 5)",5,0,250,900
rl_agent,"(5, 5)",5,0,257,927
rl_agent,"(5, 5)",5,0,259,933
rl_agent,"(5, 5)",5,0,264,957
rl_agent,"(5, 5)",5,0,269,979
rl_agent,"(5, 5)",5,0,276,1006
rl_agent,"(5, 5)",5,0,285,1037
rl_agent,"(5, 5)",5,0,292,1064
rl_agent,"(5, 5)",5,0,294,1071
rl_agent,"(5, 5)",5,0,304,1109
rl_agent,"(5, 5)",5,0,308,1122
rl_agent,"(5, 5)",5,0,317,1154
rl_agent,"(5, 5)",5,0,323,1181
rl_agent,"(5, 5)",5,0,327,1196
rl_agent,"(5, 5)",5,0,335,1239
rl_agent,"(5, 5)",5,0,343,1270
rl_agent,"(5, 5)",5,0,349,1292
rl_agent,"(5, 5)",5,0,353,1307
rl_agent,"(5, 5)",5,0,357,1325
rl_agent,"(5, 5)",5,0,364,1352
rl_agent,"(5, 5)",5,0,366,1359
rl_agent,"(5, 5)",5,0,371,1377
rl_agent,"(5, 5)",5,0,376,1395
rl_agent,"(5, 5)",5,0,379,1404
rl_agent,"(5, 5)",5,0,381,1411
rl_agent,"(5, 5)",5,0,384,1423
rl_agent,"(5, 5)",5,0,387,1433
rl_agent,"(5, 5)",5,0,388,1439
rl_agent,"(5, 5)",5,0,392,1453
rl_agent,"(5, 5)",5,0,396,1471
rl_agent,"(5, 5)",5,0,397,1475
rl_agent,"(5, 5)",5,0,405,1500
rl_agent,"(5, 5)",5,0,408,1512
rl_agent,"(5, 5)",5,0,412,1526
rl_agent,"(5, 5)",5,0,417,1541
rl_agent,"(5, 5)",5,0,420,1550
rl_agent,"(5, 5)",5,0,423,1564
rl_agent,"(5, 5)",5,0,432,1594
rl_agent,"(5, 5)",5,0,435,1606
rl_agent,"(5, 5)",5,0,437,1612
rl_agent,"(5, 5)",5,0,441,1631
rl_agent,"(5, 5)",5,0,442,1636
rl_agent,"(5, 5)",5,0,446,1651
rl_agent,"(5, 5)",5,0,449,1663
rl_agent,"(5, 5)",5,0,453,1680
